Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor; Consumo ;Consumidores
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;448.252,31;503.876
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;200.313,57;2.075
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;81.441,30;31.757
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;884.213,89;899
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;359.051,30;63.248
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Livre;34.020,91;186
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.232.245,69;6.361.665
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;379.341,70;505.749
20240601;01/06/2024;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Livre;15.514,84;120
20240601;01/06/2024;Nordeste;NORDESTE;Comercial;Cativo;770.344,44;1.298.870
20240601;01/06/2024;Nordeste;NORDESTE;Comercial;Livre;444.404,15;4.015
20240601;01/06/2024;Nordeste;NORDESTE;Industrial;Cativo;138.710,74;32.500
20240601;01/06/2024;Nordeste;NORDESTE;Industrial;Livre;1.736.799,47;1.727
20240601;01/06/2024;Nordeste;NORDESTE;Outros;Cativo;748.363,77;261.609
20240601;01/06/2024;Nordeste;NORDESTE;Outros;Livre;169.812,74;468
20240601;01/06/2024;Nordeste;NORDESTE;Residencial;Cativo;2.559.775,92;19.772.311
20240601;01/06/2024;Nordeste;NORDESTE;Residencial;Livre;41,17;1
20240601;01/06/2024;Nordeste;NORDESTE;Rural;Cativo;445.278,70;1.031.355
20240601;01/06/2024;Nordeste;NORDESTE;Rural;Livre;11.634,81;115
20240601;01/06/2024;Nordeste;NORTE INTERLIGADO;Comercial;Cativo;66.957,02;60.982
20240601;01/06/2024;Nordeste;NORTE INTERLIGADO;Comercial;Livre;45.044,69;447
